,rank,id,title,rating,year
0,4,tt0468569,The Dark Knight,9.0,2008
1,27,tt6751668,Parasite,8.5,2019
2,29,tt0120689,The Green Mile,8.5,1999
3,48,tt0095327,Grave of the Fireflies,8.4,1988
4,89,tt0119217,Good Will Hunting,8.3,1997
5,129,tt0372784,Batman Begins,8.2,2005
6,159,tt1291584,Warrior,8.1,2011
7,176,tt0266697,Kill Bill: Vol. 1,8.1,2003
8,230,tt8613070,Portrait of a Lady on Fire,8.0,2019
