,rank,id,title,year,rating
125,126,tt0042876,Rashomon,1950,8.2
126,127,tt0055630,Yojimbo,1961,8.2
127,128,tt0091251,Come and See,1985,8.2
128,129,tt0372784,Batman Begins,2005,8.2
129,130,tt0118849,Children of Heaven,1997,8.2
130,131,tt6966692,Green Book,2018,8.2
131,132,tt0363163,Downfall,2004,8.2
132,133,tt0105695,Unforgiven,1992,8.2
133,134,tt0053291,Some Like It Hot,1959,8.2
134,135,tt0089881,Ran,1985,8.2
135,136,tt0347149,Howl's Moving Castle,2004,8.2
136,137,tt0057115,The Great Escape,1963,8.2
137,138,tt0042192,All About Eve,1950,8.2
138,139,tt0268978,A Beautiful Mind,2001,8.2
139,140,tt0112641,Casino,1995,8.2
140,141,tt0457430,Pan's Labyrinth,2006,8.2
141,142,tt1305806,The Secret in Their Eyes,2009,8.2
142,143,tt0096283,My Neighbor Totoro,1988,8.2
143,144,tt0993846,The Wolf of Wall Street,2013,8.2
144,145,tt0120735,"Lock, Stock and Two Smoking Barrels",1998,8.2
145,146,tt0081398,Raging Bull,1980,8.2
146,147,tt0040897,The Treasure of the Sierra Madre,1948,8.1
147,148,tt0055031,Judgment at Nuremberg,1961,8.1
148,149,tt0469494,There Will Be Blood,2007,8.1
149,150,tt0476735,My Father and My Son,2005,8.1
150,151,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1
151,152,tt0015864,The Gold Rush,1925,8.1
152,153,tt0046912,Dial M for Murder,1954,8.1
153,154,tt0071315,Chinatown,1974,8.1
154,155,tt0434409,V for Vendetta,2005,8.1
155,156,tt0050976,The Seventh Seal,1957,8.1
156,157,tt0477348,No Country for Old Men,2007,8.1
157,158,tt2096673,Inside Out,2015,8.1
158,159,tt1130884,Shutter Island,2010,8.1
159,160,tt1291584,Warrior,2011,8.1
160,161,tt0080678,The Elephant Man,1980,8.1
161,162,tt0117951,Trainspotting,1996,8.1
162,163,tt0167404,The Sixth Sense,1999,8.1
163,164,tt0084787,The Thing,1982,8.1
164,165,tt0031381,Gone with the Wind,1939,8.1
165,166,tt0107290,Jurassic Park,1993,8.1
166,167,tt3170832,Room,2015,8.1
167,168,tt0050986,Wild Strawberries,1957,8.1
168,169,tt0083658,Blade Runner,1982,8.1
169,170,tt0266543,Finding Nemo,2003,8.1
170,171,tt0050212,The Bridge on the River Kwai,1957,8.1
171,172,tt0079944,Stalker,1979,8.1
172,173,tt0047296,On the Waterfront,1954,8.1
173,174,tt0120382,The Truman Show,1998,8.1
174,175,tt0041959,The Third Man,1949,8.1
175,176,tt0266697,Kill Bill: Vol. 1,2003,8.1
176,177,tt0116282,Fargo,1996,8.1
177,178,tt1205489,Gran Torino,2008,8.1
178,179,tt0046438,Tokyo Story,1953,8.1
179,180,tt0353969,Memories of Murder,2003,8.1
180,181,tt0077416,The Deer Hunter,1978,8.1
181,182,tt3011894,Wild Tales,2014,8.1
182,183,tt4729430,Klaus,2019,8.1
183,184,tt8108198,Andhadhun,2018,8.1
184,185,tt0116231,The Bandit,1996,8.1
185,186,tt0978762,Mary and Max,2009,8.1
186,187,tt0118715,The Big Lebowski,1998,8.1
187,188,tt0107207,In the Name of the Father,1993,8.1
188,189,tt2267998,Gone Girl,2014,8.1
189,190,tt2119532,Hacksaw Ridge,2016,8.1
190,191,tt2278388,The Grand Budapest Hotel,2014,8.1
191,192,tt0035446,To Be or Not to Be,1942,8.1
192,193,tt0060827,Persona,1966,8.1
193,194,tt1950186,Ford v Ferrari,2019,8.1
194,195,tt0112471,Before Sunrise,1995,8.1
195,196,tt0264464,Catch Me If You Can,2002,8.1
196,197,tt0017925,The General,1926,8.1
197,198,tt0892769,How to Train Your Dragon,2010,8.1
198,199,tt0031679,Mr. Smith Goes to Washington,1939,8.1
199,200,tt0015324,Sherlock Jr.,1924,8.1
200,201,tt1392214,Prisoners,2013,8.1
201,202,tt2024544,12 Years a Slave,2013,8.1
202,203,tt1392190,Mad Max: Fury Road,2015,8.1
203,204,tt0061512,Cool Hand Luke,1967,8.1
204,205,tt0072684,Barry Lyndon,1975,8.1
205,206,tt0074958,Network,1976,8.1
206,207,tt0046268,The Wages of Fear,1953,8.1
207,208,tt0092005,Stand by Me,1986,8.1
208,209,tt0758758,Into the Wild,2007,8.1
209,210,tt0405159,Million Dollar Baby,2004,8.1
210,211,tt1028532,Hachi: A Dog's Tale,2009,8.1
